Ativo,Data,Último (R$),Var. Dia (%),Var. Sem. (%),Var. Mês (%),Var. Ano (%),Var. 12M (%),Val. Mín,Val. Máx,Volume,Variação Dia %,Valor Inicial (R$),Var Semanal %,Vlr Inicial Sem (R$),Qtd de Ações,Var Dia (R$),Var Sem (R$),Resultado Dia,Resultado Semana,Nome da Empresa,Segmento,Idade,Cat_Idade
VBBR3,1/26/2024,"23,23","-0,47","2,43","2,07","2,07","50,65","22,97","23,4","58,22 M","-0,005","23,34","0,02","22,68",1.114.412.532,"-122.247.236,67","614.149.776,21",Desceu,Subiu,Vibra Energia,Energia,7,Menos de 50 anos
IRBR3,1/26/2024,"40,65","-0,65","5,45","-8,24","-8,24","73,5","40,09","41,4","74,33 M","-0,007","40,92","0,05","38,55",81.838.843,"-21.765.343,02","171.937.239,22",Desceu,Subiu,IRB Brasil RE,Seguros,83,Entre 50 e 100 anos
ELET3,1/26/2024,"40,86","-0,65","-2,04","-3,7","-3,7","-3,64","40,86","41,44","109,87 M","-0,007","41,13","-0,02","41,71",1.980.568.384,"-529.460.651,34","-1.685.270.409,43",Desceu,Desceu,Eletrobras,Energia,60,Entre 50 e 100 anos
PETZ3,1/26/2024,"3,40","-0,87","-4,23","-13,92","-13,92","-46,63","3,35","3,47","49,03 M","-0,009","3,43","-0,04","3,55",309.729.428,"-9.242.203,65","-46.512.776,79",Desceu,Desceu,Petz,Varejo,17,Menos de 50 anos
EZTC3,1/26/2024,"15,91","-0,93","-2,39","-14,92","-14,92","8,93","15,85","16,31","22,15 M","-0,009","16,06","-0,02","16,30",91.514.307,"-13.667.842,34","-35.650.265,06",Desceu,Desceu,EZTEC,Construção Civil,42,Menos de 50 anos
FLRY3,1/26/2024,"16,49","-1,07","1,04","-8,59","-8,59","17,16","16,4","16,71","37,01 M","-0,011","16,67","0,01","16,32",240.822.651,"-42.951.047,22","40.875.021,14",Desceu,Subiu,Fleury,Saúde,96,Entre 50 e 100 anos
SOMA3,1/26/2024,"6,95","-1,27","-0,43","-6,71","-6,71","-30,01","6,87","7,14","60,82 M","-0,013","7,04","0,00","6,98",496.029.967,"-44.345.269,97","-14.887.873,42",Desceu,Desceu,Grupo Soma,Varejo,51,Entre 50 e 100 anos
ALPA4,1/26/2024,"8,67","-1,36","4,08","-14,33","-14,33","-34,52","8,62","8,8",14 M,"-0,014","8,79","0,04","8,33",176.733.968,"-21.126.374,33","60.066.455,52",Desceu,Subiu,Alpargatas,Calçados,103,Mais de 100 anos
CYRE3,1/26/2024,"22,84","-1,38","2,38","-5,15","-5,15","60,09","22,62","23,34","104,26 M","-0,014","23,16","0,02","22,31",265.784.616,"-84.945.431,64","141.119.741,14",Desceu,Subiu,Cyrela,Construção Civil,56,Entre 50 e 100 anos
EMBR3,1/26/2024,"22,40","-1,40","5,02","0,04","0,04","34,29","22,26","22,92","60,86 M","-0,014","22,72","0,05","21,33",734.632.705,"-233.651.943,50","786.592.824,34",Desceu,Subiu,Embraer,Aeronáutica,53,Entre 50 e 100 anos
